URL,Name,Address,Capital,Sales,Market,President
https://baseconnect.in/companies/cc4bfb14-98ab-48dc-8723-b6f308d6bc38,株式会社アイ・ユー・ケイ,〒113-0024東京都文京区西片１丁目１７番８号,1億円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/b042a6a0-ed90-4fbe-8704-a5b874ab445e,十和田オーディオ株式会社,〒017-0201秋田県鹿角郡小坂町小坂字大稲坪９８番地,1000万円,,未上場,情報あり
https://baseconnect.in/companies/f4ecc2c5-6ef9-469d-beda-2b265e86d308,ＮＴＴセキュリティ・ジャパン株式会社,〒101-0021東京都千代田区外神田４丁目１４番１号,100万円,,未上場,
https://baseconnect.in/companies/9021c990-3ba1-4d68-97a3-afe9e1b103a6,エヌアイシー・ソフト株式会社,〒104-0044東京都中央区明石町８番１号,3000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/625dc526-e8a4-4cec-aac8-df15829ba9ed,株式会社経営情報センター,〒550-0013大阪府大阪市西区新町１丁目２７番５号,2000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/3a757048-ecc2-4c06-a47a-3df54ef2b6ab,コニカミノルタ情報システム株式会社,〒192-0032東京都八王子市石川町２９７０番地,1億円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/dee05d41-1792-4a0a-8f05-78a0af495692,株式会社イノベーション,〒150-0002東京都渋谷区渋谷３丁目１０番１３号,12億1108万6000円,10億〜50億円,東証グロース,情報あり
https://baseconnect.in/companies/3c8519b2-8da3-427e-a15b-a5d5efd4be4c,ｅＢＡＳＥ株式会社,〒531-0072大阪府大阪市北区豊崎５丁目４番９号,1億9034万円,10億〜50億円,東証プライム,情報あり
https://baseconnect.in/companies/e0b98cac-4dde-46b5-82f2-00379d8fae24,ニューラルマーケティング株式会社,〒558-0047大阪府大阪市住吉区千躰２丁目２番２４号,5000万円,,未上場,情報あり
https://baseconnect.in/companies/9eb1f260-9d4d-4658-8eda-a7e346bea0a6,株式会社ＦＲＯＮＴＥＯ,〒108-0075東京都港区港南２丁目１２番２３号,30億4231万7000円,50億〜300億円,東証グロース,情報あり
https://baseconnect.in/companies/dd7f52ce-5058-45f2-a85d-fa40c8106bef,福井コンピュータ株式会社,〒910-0365福井県坂井市丸岡町磯部福庄第５号６番地,1000万円,,未上場,情報あり
https://baseconnect.in/companies/9d94bf6a-553b-4790-b656-89e773b87c59,三友株式会社,〒150-0041東京都渋谷区神南１丁目８番１３号,1億円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/f72ffb30-980d-4ce1-a836-b67f8299d6d0,日本栄養食品株式会社,〒060-0062北海道札幌市中央区南二条西５丁目８番地,3000万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/c18d5613-7025-4bb1-9801-6998c6d36c0d,エム・アール・アイリサーチアソシエイツ株式会社,〒100-0014東京都千代田区永田町２丁目１０番３号,6000万円,10億〜50億円,未上場,
https://baseconnect.in/companies/fcd44365-5e9b-468d-94bc-9a8d500cb2e1,株式会社医療情報システム,〒541-0046大阪府大阪市中央区平野町１丁目４番８号,7889万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/416d3480-7bb3-43e9-8f6d-612c96d276d4,三美印刷株式会社,〒116-0013東京都荒川区西日暮里６丁目２８番１号,8000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/6fc76815-54be-42fd-a65a-de051f7897d6,株式会社ベリーベスト,〒106-0032東京都港区六本木１丁目８番７号ＭＦＰＲ六本木麻布台ビル１１階,,,未上場,情報あり
https://baseconnect.in/companies/8e012b42-e371-4d64-8e57-064b0212c5e4,北銀ソフトウエア株式会社,〒930-0017富山県富山市東田地方町１丁目５番２５号,3000万円,3億〜10億円,未上場,情報あり
https://baseconnect.in/companies/fd3196c1-60b7-4f3e-aef3-2feccb332945,株式会社ＰＲ　ＴＩＭＥＳ,〒107-0052東京都港区赤坂１丁目１１番４４号,4億2271万7000円,50億〜300億円,東証プライム,情報あり
https://baseconnect.in/companies/0145c855-45c7-4a9a-a923-6aad5ec92646,八洲制御システム株式会社,〒739-1751広島県広島市安佐北区深川８丁目２番３７号,1億円,,未上場,情報あり
https://baseconnect.in/companies/8cc3662f-b59a-406a-aea1-0922089fcefd,株式会社ニシコン,〒802-0002福岡県北九州市小倉北区京町３丁目１３番１７号,,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/f1b2dc0f-2863-4b97-82d3-3c617abd60bf,株式会社ＮＳＰ‐Ｔｅｃｈ,〒153-0064東京都目黒区下目黒１丁目８－１ＡＲＣＯＴＯＷＥＲ６階,3000万円,,未上場,情報あり
https://baseconnect.in/companies/5ad7ac30-f07b-4b84-9885-7711a5aba8f8,株式会社Ｌｉｆｅ　Ｌａｂ,〒105-0001東京都港区虎ノ門４丁目１－２８,,,未上場,情報あり
https://baseconnect.in/companies/8ec67dd1-0f7b-4156-a602-13191cbd6c95,株式会社キュービック,〒169-0074東京都新宿区北新宿２丁目２１番１号新宿フロントタワー１６階,3100万円,,未上場,情報あり
https://baseconnect.in/companies/003bfe5c-a1ce-4f94-bb3f-57bf1a5fe2cd,ジェイズ・テクノロジー株式会社,〒104-0033東京都中央区新川１丁目１６番３号,1億円,,未上場,情報あり
https://baseconnect.in/companies/3cbd2cbb-c751-4784-8883-0ec4cae955cd,株式会社松本光春商店,〒760-0073香川県高松市栗林町１丁目１５番１８号,1000万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/0e622798-9b95-4577-bf9c-1922e354dad1,株式会社東京システム技研,〒160-0023東京都新宿区西新宿１丁目２１番,2億2500万円,,未上場,情報あり
https://baseconnect.in/companies/7e5e6968-ec54-4027-9c6c-4657d3d4abd4,株式会社光陽社,〒113-0034東京都文京区湯島２丁目１６番１６号,1億円,10億〜50億円,東証スタンダード,情報あり
https://baseconnect.in/companies/744c6238-56e2-4fed-89a0-5703d926bf41,デジタルテクノロジー株式会社,〒116-0014東京都荒川区東日暮里５丁目７番１８号,1億円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/47c505ab-f069-48cf-a091-f465cc86b6de,株式会社キーワードジャパン,〒171-0021東京都豊島区西池袋３丁目１番１５号,3000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/e04f9aec-d77f-4edd-abf2-9f41ecc1b9cf,ＣＲＥＳＳ　ＩＮＦＯ株式会社,〒101-0035東京都千代田区神田紺屋町１７番地,5000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/421fabd4-38e5-4c85-8b5f-fd5913f6c60f,日販テクシード株式会社,〒101-0062東京都千代田区神田駿河台４丁目３番地,1億円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/55e58612-c27c-4c59-a788-5db6555e1a89,株式会社モンスターラボジャパン,〒150-0012東京都渋谷区広尾１丁目１番３９号恵比寿プライムスクエアタワー４Ｆ,,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/ea8d3a20-8b7a-47f2-ad24-8bbab032cab5,株式会社ビヨンドワークス,〒150-0002東京都渋谷区渋谷３丁目１１番２号渋谷パインビル７階,,,未上場,
https://baseconnect.in/companies/c25e3f9d-b345-4063-b7b9-8e5f702fe65b,株式会社ジモティー,〒141-0031東京都品川区西五反田１丁目２番１０号,3億865万7000円,10億〜50億円,東証グロース,情報あり
https://baseconnect.in/companies/c4a4ca4e-f7af-459d-a3fb-8f4615424158,株式会社穴吹カレッジサービス,〒760-0022香川県高松市西内町５番１１号,1000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/68c10200-66ef-46a1-84c5-a47179b4d56e,株式会社トラックオーコク,〒151-0073東京都渋谷区笹塚１丁目５５番７号マルエスファーストビル,5000万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/d94e8337-d27f-4330-8eb2-fafe1f8e020c,Ｎｕｔａｎｉｘ　Ｊａｐａｎ合同会社,〒100-0005東京都千代田区丸の内１丁目４番１号丸の内永楽ビルディング１５階,,,未上場,情報あり
https://baseconnect.in/companies/c9a14086-43e9-47b6-bf57-2b9d65473951,ユニバース情報システム株式会社,〒108-0073東京都港区三田１丁目４番２８号,4700万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/81bc4734-f0e8-4c05-9479-e2d7bd0d87fc,三谷コンピュータ株式会社,〒910-0347福井県坂井市丸岡町熊堂第３号７番地１－１３,1億1124万3000円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/6b119dfd-2cd2-48dd-b642-acbda72c0e1c,株式会社近計システム,〒559-0031大阪府大阪市住之江区南港東８丁目２番６１号,8900万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/800e5ffd-e5a0-4ef0-a3de-f7e36a257864,株式会社大同ＩＴソリューションズ,〒461-0005愛知県名古屋市東区東桜１丁目１番１０号,4500万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/c423fed3-91da-414c-8a07-ee538d20df4d,株式会社シスコ,〒530-0004大阪府大阪市北区堂島浜１丁目４番１６号アクア堂島ＮＢＦタワー,4000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/f037dddd-daef-414d-b66e-c4da152ea017,日本ナレッジスペース株式会社,〒105-0004東京都港区新橋６丁目２０番１号,1000万円,,未上場,情報あり
https://baseconnect.in/companies/93749bb2-3360-40fa-895c-51d980bcf8ac,株式会社ワイズ,〒101-0041東京都千代田区神田須田町１丁目９番地,5000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/7348e7ff-7a88-45ac-9631-eaf6f6309619,株式会社エム・アンド・アイ,〒101-0047東京都千代田区内神田１丁目２番８号楠本第２ビル３階,3000万円,,未上場,情報あり
https://baseconnect.in/companies/0bd202e6-e4e8-422f-b449-5662a2aabf2e,ＴＤＳＥ株式会社,〒160-0023東京都新宿区西新宿３丁目２０番２号,8億3318万円,10億〜50億円,東証グロース,情報あり
https://baseconnect.in/companies/b8d26aa9-9684-449c-89ea-630e09a9b663,カシオヒューマンシステムズ株式会社,〒151-0071東京都渋谷区本町１丁目６番２号,3億1000万円,,未上場,情報あり
https://baseconnect.in/companies/06f9385f-e371-4599-b8cc-a1dc0f1f4610,サクシード株式会社,〒104-0033東京都中央区新川１丁目８番６号,5000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/9688734b-fd54-47d1-8096-1e1fcc651ed6,株式会社ジェー・アイ・ピー,〒231-0015神奈川県横浜市中区尾上町３丁目３５番地,5000万円,,未上場,情報あり
https://baseconnect.in/companies/d7386a8c-b860-4f1a-b0d6-fa9de7e206d9,ＪＩＧ－ＳＡＷ株式会社,〒060-0808北海道札幌市北区北八条西３丁目３２番,3億5110万7000円,10億〜50億円,東証グロース,情報あり
https://baseconnect.in/companies/6605fd28-49c1-4aac-b8d5-db77fd73eb92,インパクトホールディングス株式会社,〒107-0052東京都港区赤坂１丁目１２番３２号,1億円,,未上場,情報あり
